"","V1","V2","V3","V4","V5"
"1",8,10,9,12,10
"2",11,8,12,7,11
"3",11,12,7,10,9
"4",8,11,7,6,12
"5",10,12,7,7,10
"6",6,7,15,9,9
"7",7,8,15,11,12
"8",5,14,4,7,14
"9",8,14,10,4,9
"10",8,11,11,10,12
"11",7,14,7,9,10
"12",3,10,7,9,21
"13",14,6,13,3,10
"14",6,3,13,9,12
"15",8,11,10,11,11
"16",8,6,17,7,8
"17",10,12,15,12,13
"18",10,9,12,8,11
"19",12,4,10,8,5
"20",8,8,10,8,11
"21",12,11,11,11,11
"22",13,8,10,8,7
"23",14,5,11,9,11
"24",9,11,8,3,11
"25",15,8,11,11,5
"26",10,13,15,9,9
"27",10,8,9,9,10
"28",10,9,10,9,12
"29",10,8,9,7,7
"30",11,10,9,10,9
"31",3,6,14,16,6
"32",4,8,11,12,9
"33",9,6,11,8,7
"34",9,15,8,14,10
"35",6,8,8,9,10
"36",13,9,11,14,15
"37",11,12,10,14,9
"38",17,7,8,6,15
"39",13,8,11,12,8
"40",7,12,6,11,8
